,Date,NestFlag,FalseCrawlFlag,total,state
15,5/13/2009,0,1,1,NC
20,5/14/2009,1,0,1,NC
23,5/15/2009,0,2,2,NC
28,5/16/2009,1,2,3,NC
33,5/17/2009,1,1,2,NC
44,5/19/2009,2,0,2,NC
52,5/20/2009,1,0,1,NC
59,5/21/2009,1,2,3,NC
66,5/22/2009,2,1,3,NC
75,5/23/2009,1,0,1,NC
91,5/25/2009,1,0,1,NC
99,5/26/2009,0,1,1,NC
108,5/27/2009,1,2,3,NC
117,5/28/2009,3,1,4,NC
126,5/29/2009,7,7,14,NC
136,5/30/2009,3,3,6,NC
145,5/31/2009,6,2,8,NC
162,6/1/2009,4,3,7,NC
261,6/2/2009,6,2,8,NC
360,6/3/2009,3,4,7,NC
378,6/4/2009,8,8,16,NC
387,6/5/2009,10,3,13,NC
396,6/6/2009,8,2,10,NC
405,6/7/2009,6,3,9,NC
414,6/8/2009,4,6,10,NC
423,6/9/2009,4,5,9,NC
171,6/10/2009,6,4,10,NC
180,6/11/2009,10,6,16,NC
189,6/12/2009,12,13,25,NC
198,6/13/2009,5,14,19,NC
207,6/14/2009,9,10,19,NC
216,6/15/2009,8,4,12,NC
225,6/16/2009,11,7,18,NC
234,6/17/2009,10,11,21,NC
243,6/18/2009,20,9,29,NC
252,6/19/2009,10,9,19,NC
270,6/20/2009,5,3,8,NC
279,6/21/2009,3,6,9,NC
288,6/22/2009,8,10,18,NC
297,6/23/2009,3,9,12,NC
306,6/24/2009,7,12,19,NC
315,6/25/2009,9,27,36,NC
324,6/26/2009,15,19,34,NC
333,6/27/2009,11,19,30,NC
342,6/28/2009,7,11,18,NC
351,6/29/2009,12,16,28,NC
369,6/30/2009,12,14,26,NC
432,7/1/2009,13,15,28,NC
529,7/2/2009,10,8,18,NC
618,7/3/2009,12,3,15,NC
643,7/4/2009,8,8,16,NC
652,7/5/2009,8,5,13,NC
661,7/6/2009,1,6,7,NC
670,7/7/2009,6,11,17,NC
679,7/8/2009,13,9,22,NC
688,7/9/2009,13,12,25,NC
441,7/10/2009,10,8,18,NC
450,7/11/2009,6,10,16,NC
459,7/12/2009,10,5,15,NC
468,7/13/2009,11,6,17,NC
477,7/14/2009,9,15,24,NC
486,7/15/2009,13,4,17,NC
495,7/16/2009,6,4,10,NC
504,7/17/2009,9,6,15,NC
513,7/18/2009,5,4,9,NC
521,7/19/2009,10,5,15,NC
538,7/20/2009,6,4,10,NC
546,7/21/2009,9,5,14,NC
554,7/22/2009,13,9,22,NC
562,7/23/2009,10,12,22,NC
570,7/24/2009,6,18,24,NC
578,7/25/2009,6,18,24,NC
586,7/26/2009,8,16,24,NC
594,7/27/2009,6,6,12,NC
602,7/28/2009,7,5,12,NC
610,7/29/2009,8,2,10,NC
627,7/30/2009,4,1,5,NC
635,7/31/2009,5,4,9,NC
697,8/1/2009,4,2,6,NC
779,8/2/2009,8,2,10,NC
835,8/3/2009,2,3,5,NC
849,8/4/2009,4,2,6,NC
857,8/5/2009,7,1,8,NC
865,8/6/2009,2,0,2,NC
873,8/7/2009,1,0,1,NC
881,8/8/2009,2,3,5,NC
889,8/9/2009,6,3,9,NC
705,8/10/2009,1,2,3,NC
713,8/11/2009,5,3,8,NC
721,8/12/2009,3,0,3,NC
742,8/15/2009,4,0,4,NC
750,8/16/2009,1,1,2,NC
757,8/17/2009,4,0,4,NC
772,8/19/2009,1,0,1,NC
787,8/20/2009,1,0,1,NC
801,8/22/2009,1,0,1,NC
810,8/24/2009,1,0,1,NC
824,8/27/2009,2,4,6,NC
828,8/28/2009,1,0,1,NC
845,8/31/2009,2,1,3,NC
903,9/3/2009,1,0,1,NC
899,9/15/2009,1,0,1,NC
902,9/17/2009,0,1,1,NC
2,10/7/2009,1,0,1,NC
67,5/22/2010,1,0,1,NC
76,5/23/2010,1,0,1,NC
84,5/24/2010,0,1,1,NC
92,5/25/2010,3,1,4,NC
100,5/26/2010,1,1,2,NC
109,5/27/2010,4,1,5,NC
118,5/28/2010,5,3,8,NC
127,5/29/2010,1,0,1,NC
137,5/30/2010,2,2,4,NC
146,5/31/2010,3,7,10,NC
163,6/1/2010,12,8,20,NC
262,6/2/2010,5,4,9,NC
361,6/3/2010,9,5,14,NC
379,6/4/2010,16,19,35,NC
388,6/5/2010,9,15,24,NC
397,6/6/2010,7,0,7,NC
406,6/7/2010,11,5,16,NC
415,6/8/2010,16,3,19,NC
424,6/9/2010,8,8,16,NC
172,6/10/2010,6,9,15,NC
181,6/11/2010,6,10,16,NC
190,6/12/2010,13,9,22,NC
199,6/13/2010,8,7,15,NC
208,6/14/2010,10,12,22,NC
217,6/15/2010,17,17,34,NC
226,6/16/2010,21,12,33,NC
235,6/17/2010,9,19,28,NC
244,6/18/2010,16,9,25,NC
253,6/19/2010,11,10,21,NC
271,6/20/2010,13,9,22,NC
280,6/21/2010,23,18,41,NC
289,6/22/2010,19,16,35,NC
298,6/23/2010,14,11,25,NC
307,6/24/2010,13,9,22,NC
316,6/25/2010,13,7,20,NC
325,6/26/2010,12,7,19,NC
334,6/27/2010,16,15,31,NC
343,6/28/2010,14,17,31,NC
352,6/29/2010,10,12,22,NC
370,6/30/2010,18,21,39,NC
433,7/1/2010,8,9,17,NC
530,7/2/2010,13,11,24,NC
619,7/3/2010,9,6,15,NC
644,7/4/2010,7,8,15,NC
653,7/5/2010,9,14,23,NC
662,7/6/2010,13,9,22,NC
671,7/7/2010,18,19,37,NC
680,7/8/2010,9,10,19,NC
689,7/9/2010,13,5,18,NC
