"","Date","NestFlag","FalseCrawlFlag","total","state"
"1","5/1/2012",1,0,1,"SC"
"2","5/10/2009",2,0,2,"SC"
"3","5/10/2010",1,0,1,"SC"
"4","5/10/2011",4,6,10,"SC"
"5","5/10/2012",18,22,40,"SC"
"6","5/10/2015",2,6,8,"SC"
"7","5/10/2016",4,4,8,"SC"
"8","5/11/2009",2,0,2,"SC"
"9","5/11/2011",11,1,12,"SC"
"10","5/11/2012",35,44,79,"SC"
"11","5/11/2014",1,0,1,"SC"
"12","5/11/2015",5,6,11,"SC"
"13","5/11/2016",5,2,7,"SC"
"14","5/12/2009",1,0,1,"SC"
"15","5/12/2010",2,1,3,"SC"
"16","5/12/2011",5,3,8,"SC"
"17","5/12/2012",33,30,63,"SC"
"18","5/12/2013",1,0,1,"SC"
"19","5/12/2015",10,4,14,"SC"
"20","5/12/2016",6,1,7,"SC"
"21","5/13/2009",6,5,11,"SC"
"22","5/13/2010",0,1,1,"SC"
"23","5/13/2011",13,2,15,"SC"
"24","5/13/2012",28,24,52,"SC"
"25","5/13/2013",0,1,1,"SC"
"26","5/13/2014",0,1,1,"SC"
"27","5/13/2015",6,1,7,"SC"
"28","5/13/2016",1,1,2,"SC"
"29","5/14/2009",8,7,15,"SC"
"30","5/14/2010",3,0,3,"SC"
"31","5/14/2011",16,5,21,"SC"
"32","5/14/2012",22,25,47,"SC"
"33","5/14/2013",0,3,3,"SC"
"34","5/14/2014",2,0,2,"SC"
"35","5/14/2015",2,1,3,"SC"
"36","5/14/2016",6,7,13,"SC"
"37","5/15/2009",7,5,12,"SC"
"38","5/15/2010",5,3,8,"SC"
"39","5/15/2011",14,2,16,"SC"
"40","5/15/2012",28,23,51,"SC"
"41","5/15/2013",1,3,4,"SC"
"42","5/15/2014",4,1,5,"SC"
"43","5/15/2015",16,6,22,"SC"
"44","5/15/2016",11,12,23,"SC"
"45","5/16/2009",4,5,9,"SC"
"46","5/16/2010",4,1,5,"SC"
"47","5/16/2011",11,5,16,"SC"
"48","5/16/2012",38,13,51,"SC"
"49","5/16/2013",0,4,4,"SC"
"50","5/16/2014",2,3,5,"SC"
"51","5/16/2015",20,4,24,"SC"
"52","5/16/2016",24,22,46,"SC"
"53","5/17/2009",12,4,16,"SC"
"54","5/17/2010",11,3,14,"SC"
"55","5/17/2011",7,12,19,"SC"
"56","5/17/2012",29,13,42,"SC"
"57","5/17/2013",0,1,1,"SC"
"58","5/17/2014",2,4,6,"SC"
"59","5/17/2015",15,3,18,"SC"
"60","5/17/2016",49,17,66,"SC"
"61","5/18/2009",3,4,7,"SC"
"62","5/18/2010",10,11,21,"SC"
"63","5/18/2011",26,21,47,"SC"
"64","5/18/2012",44,26,70,"SC"
"65","5/18/2013",1,3,4,"SC"
"66","5/18/2014",7,8,15,"SC"
"67","5/18/2015",38,8,46,"SC"
"68","5/18/2016",28,14,42,"SC"
"69","5/19/2009",3,2,5,"SC"
"70","5/19/2010",20,11,31,"SC"
"71","5/19/2011",23,13,36,"SC"
"72","5/19/2012",29,38,67,"SC"
"73","5/19/2013",3,2,5,"SC"
"74","5/19/2014",6,8,14,"SC"
"75","5/19/2015",39,19,58,"SC"
"76","5/19/2016",29,12,41,"SC"
"77","5/2/2012",2,0,2,"SC"
"78","5/2/2015",1,0,1,"SC"
"79","5/20/2009",3,2,5,"SC"
"80","5/20/2010",19,11,30,"SC"
"81","5/20/2011",36,12,48,"SC"
"82","5/20/2012",26,11,37,"SC"
"83","5/20/2013",5,2,7,"SC"
"84","5/20/2014",10,12,22,"SC"
"85","5/20/2015",34,15,49,"SC"
"86","5/20/2016",29,34,63,"SC"
"87","5/21/2009",6,2,8,"SC"
"88","5/21/2010",36,12,48,"SC"
"89","5/21/2011",41,14,55,"SC"
"90","5/21/2012",43,50,93,"SC"
"91","5/21/2013",11,2,13,"SC"
"92","5/21/2014",11,8,19,"SC"
"93","5/21/2015",53,32,85,"SC"
"94","5/21/2016",54,26,80,"SC"
"95","5/22/2009",11,8,19,"SC"
"96","5/22/2010",31,8,39,"SC"
"97","5/22/2011",17,10,27,"SC"
"98","5/22/2012",59,24,83,"SC"
"99","5/22/2013",8,3,11,"SC"
"100","5/22/2014",8,1,9,"SC"
"101","5/22/2015",50,21,71,"SC"
"102","5/22/2016",40,15,55,"SC"
"103","5/23/2009",16,3,19,"SC"
"104","5/23/2010",28,5,33,"SC"
"105","5/23/2011",49,15,64,"SC"
"106","5/23/2012",48,24,72,"SC"
"107","5/23/2013",13,3,16,"SC"
"108","5/23/2014",12,5,17,"SC"
"109","5/23/2015",82,47,129,"SC"
"110","5/23/2016",39,32,71,"SC"
"111","5/24/2009",7,1,8,"SC"
"112","5/24/2010",27,3,30,"SC"
"113","5/24/2011",40,14,54,"SC"
"114","5/24/2012",46,33,79,"SC"
"115","5/24/2013",17,8,25,"SC"
"116","5/24/2014",9,0,9,"SC"
"117","5/24/2015",97,37,134,"SC"
"118","5/24/2016",60,48,108,"SC"
"119","5/25/2009",8,7,15,"SC"
"120","5/25/2010",22,14,36,"SC"
"121","5/25/2011",27,11,38,"SC"
"122","5/25/2012",45,28,73,"SC"
"123","5/25/2013",18,9,27,"SC"
"124","5/25/2014",13,7,20,"SC"
"125","5/25/2015",71,29,100,"SC"
