"","DATE","DAILYAverageDryBulbTemp","DAILYPrecip","DAILYAverageStationPressure","DAILYAverageWindSpeed","DAILYAverageDewPointTemp"
"957230","2009-01-01","39",0,30.28,7.3,NA
"957274","2009-01-02","52",NA,30.06,4.1,NA
"957362","2009-01-03","55",NA,30.05,2.6,NA
"957405","2009-01-04","65",0.01,30.09,2.5,NA
"957453","2009-01-05","64",0.01,30.04,3.7,NA
"957484","2009-01-06","67",0,29.86,7.7,NA
"957521","2009-01-07","58",0.05,29.63,15.1,NA
"957547","2009-01-08","56",0,29.81,12.1,NA
"957572","2009-01-09","48",0,30.13,3.7,NA
"957597","2009-01-10","53",NA,30.17,5.2,NA
"957640","2009-01-11","59",0.09,29.94,10.1,NA
"957665","2009-01-12","46",0,30.15,7.8,NA
"957702","2009-01-13","42",0.13,30.02,7,NA
"957727","2009-01-14","42",0,30.15,5,NA
"957752","2009-01-15","45",0,30.25,8.8,NA
"957777","2009-01-16","34",0,30.52,9.1,NA
"957802","2009-01-17","34",0,30.47,5.3,NA
"957854","2009-01-18","44",0.45,30.03,4.8,NA
"957904","2009-01-19","50",0.03,29.69,5.5,NA
"957944","2009-01-20","38",0.01,29.67,10.5,NA
"957969","2009-01-21","34",0,30.12,6.2,NA
"957994","2009-01-22","40",0,30.2,5.2,NA
"958019","2009-01-23","50",0,30.16,8,NA
"958070","2009-01-24","57",0.04,30.07,5.5,NA
"958120","2009-01-25","52",0,30.15,4.5,NA
"958158","2009-01-26","48",0,30.27,3.5,NA
"958204","2009-01-27","54",0,30.3,3.7,NA
"958249","2009-01-28","62",0.03,30.01,6.6,NA
"958279","2009-01-29","52",0.1,29.94,3.1,NA
"958304","2009-01-30","48",0,30.01,10.3,NA
"958329","2009-01-31","44",0,30.19,NA,NA
"958354","2009-02-01","49",NA,30.21,4.6,NA
"958394","2009-02-02","47",0.06,29.99,1.6,NA
"958430","2009-02-03","46",0.01,29.91,10.8,NA
"958455","2009-02-04","34",0,30.16,13.9,NA
"958480","2009-02-05","33",0,30.49,6.4,NA
"958505","2009-02-06","40",0,30.49,5.2,NA
"958530","2009-02-07","51",0,30.45,5.1,NA
"958555","2009-02-08","58",0,30.33,7.7,NA
"958583","2009-02-09","58",NA,30.29,3,NA
"958624","2009-02-10","58",NA,30.25,2.5,NA
"958649","2009-02-11","63",0.01,30.09,9.5,NA
"958674","2009-02-12","63",0,30.02,8.7,NA
"958699","2009-02-13","54",0,30.09,4.3,NA
"958739","2009-02-14","54",0.11,29.94,1.6,NA
"958802","2009-02-15","52",0.01,30,5.4,NA
"958838","2009-02-16","45",0,30.11,5.6,NA
"958863","2009-02-17","44",NA,30.26,5.8,NA
"958889","2009-02-18","57",0.01,29.94,9.3,NA
"958923","2009-02-19","58",0.79,29.73,13.3,NA
"958948","2009-02-20","42",0,30.1,7.8,NA
"958973","2009-02-21","43",0,30.24,3,NA
"958998","2009-02-22","50",0,30.15,9.2,NA
"959023","2009-02-23","40",0,30.36,5,NA
"959048","2009-02-24","40",NA,30.37,5.8,NA
"959073","2009-02-25","50",0,30.37,5.7,NA
"959104","2009-02-26","57",NA,30.3,2.5,NA
"959129","2009-02-27","60",0,30.12,7.3,NA
"959161","2009-02-28","61",0.5,29.91,NA,NA
"959226","2009-03-01","52",0.77,29.69,16,NA
"959259","2009-03-02","42",0.78,29.98,8.4,NA
"959284","2009-03-03","36",NA,30.3,8.9,NA
"959309","2009-03-04","38",NA,30.43,4,NA
"959339","2009-03-05","46",NA,30.41,3.5,NA
"959364","2009-03-06","58",0.01,30.35,6.8,NA
"959389","2009-03-07","64",0,30.26,8.1,NA
"959418","2009-03-08","66",NA,30.15,8,NA
"959444","2009-03-09","70",0,30.09,7.4,NA
"959479","2009-03-10","66",0,30.12,5,NA
"959511","2009-03-11","69",NA,30.13,5,NA
"959537","2009-03-12","62",NA,30.19,8.2,NA
"959566","2009-03-13","54",0,30.2,8,NA
"959618","2009-03-14","54",0,30.15,4.9,NA
"959659","2009-03-15","65",NA,30.08,3.2,NA
"959699","2009-03-16","65",0.22,30.1,2.9,NA
"959734","2009-03-17","",NA,NA,NA,NA
"959758","2009-03-18","60s",0,NA,NA,NA
"959791","2009-03-19","62",0,30.08,2.4,NA
"959819","2009-03-20","60",NA,30.1,9.6,NA
"959844","2009-03-21","54",0,30.33,7.6,NA
"959869","2009-03-22","54",0,30.35,5.7,NA
"959910","2009-03-23","56",NA,30.25,3.2,NA
"959948","2009-03-24","58",NA,30.24,6.6,NA
"959982","2009-03-25","62",0,30.18,6.9,NA
"960012","2009-03-26","68",NA,30.01,11.5,NA
"960037","2009-03-27","66",0.01,29.86,7.9,NA
"960097","2009-03-28","67",1.3,29.78,5.8,NA
"960139","2009-03-29","64",0.01,29.68,12.9,NA
"960164","2009-03-30","58",0,29.97,6.5,NA
"960214","2009-03-31","60",0.21,30.03,NA,NA
"960260","2009-04-01","66",0.43,29.91,6.7,NA
"960333","2009-04-02","64",4.42,29.78,6.4,NA
"960371","2009-04-03","68",NA,29.58,12.2,NA
"960396","2009-04-04","63",0,29.9,4.8,NA
"960437","2009-04-05","64",0.23,29.88,4.8,NA
"960473","2009-04-06","62",0.01,29.62,16.1,NA
"960498","2009-04-07","50",0,29.82,14.2,NA
"960523","2009-04-08","53",0,29.97,9.7,NA
"960548","2009-04-09","67",0,29.94,10.4,NA
"960573","2009-04-10","66",0,29.99,9.6,NA
"960605","2009-04-11","68",0.15,29.89,8.2,NA
"960630","2009-04-12","61",0,30.11,8.6,NA
"960679","2009-04-13","64",1.06,30.03,10.3,NA
"960713","2009-04-14","69",0.12,29.74,7.4,NA
"960740","2009-04-15","63",0,29.87,7.1,NA
"960765","2009-04-16","63",0,30.11,8.1,NA
"960790","2009-04-17","58",0,30.28,6.6,NA
"960823","2009-04-18","60",NA,30.19,2.5,NA
"960848","2009-04-19","64",0,30.03,5.8,NA
"960886","2009-04-20","72",0.84,29.81,8.6,NA
"960911","2009-04-21","68",NA,29.82,10.5,NA
"960936","2009-04-22","66",0,29.97,9.7,NA
"960961","2009-04-23","68",0,30.1,4.4,NA
"961002","2009-04-24","75",NA,30.21,3.1,NA
"961029","2009-04-25","72",NA,30.31,3.5,NA
"961089","2009-04-26","70",0.01,30.34,3.7,NA
"961125","2009-04-27","70",NA,30.37,5,NA
"961150","2009-04-28","70",NA,30.34,3.6,NA
"961204","2009-04-29","70",NA,30.27,3,NA
"961241","2009-04-30","70",NA,30.23,NA,NA
"961266","2009-05-01","74",0,30.14,6.6,NA
"961291","2009-05-02","78",0,30,8.1,NA
"961316","2009-05-03","78",0,29.96,7.3,NA
"961345","2009-05-04","78",0,29.96,6.4,NA
"961390","2009-05-05","74",0.19,30,4.4,NA
"961421","2009-05-06","76",0.01,29.99,6.4,NA
"961446","2009-05-07","78",0,29.92,7.5,NA
"961472","2009-05-08","78",0,29.92,5.4,NA
"961497","2009-05-09","79",0,29.94,7.9,NA
"961525","2009-05-10","80",0,29.97,6.4,NA
"961565","2009-05-11","74",NA,29.98,7.2,NA
"961590","2009-05-12","66",NA,30.11,8.4,NA
"961634","2009-05-13","69",0.05,30.16,8.9,NA
"961673","2009-05-14","76",0.05,30.12,4.8,NA
"961713","2009-05-15","75",0.02,30.13,3.6,NA
"961754","2009-05-16","76",0,30.07,4.3,NA
"961793","2009-05-17","71",1.22,29.96,5.8,NA
"961830","2009-05-18","56",0.4,30.08,14.8,NA
"961858","2009-05-19","60",0,30.15,15.2,NA
"961889","2009-05-20","70",0,30.15,13,NA
"961931","2009-05-21","71",0.09,30.1,11.1,NA
"961958","2009-05-22","74",0,30.07,10,NA
"961987","2009-05-23","74",NA,30.03,8.1,NA
"962032","2009-05-24","75",0.39,29.99,3.6,NA
"962072","2009-05-25","76",NA,29.92,3.5,NA
"962130","2009-05-26","76",0,29.89,4,NA
"962170","2009-05-27","77",NA,29.85,2.8,NA
"962207","2009-05-28","80",NA,29.81,5.3,NA
"962241","2009-05-29","80",0.34,29.79,6.6,NA
"962266","2009-05-30","78",0,29.81,4.4,NA
"962297","2009-05-31","79",0,29.87,NA,NA
"962322","2009-06-01","82",0,29.97,5.6,NA
"962347","2009-06-02","79",0,30.04,3.6,NA
"962392","2009-06-03","78",0,30,3.5,NA
"962429","2009-06-04","",NA,NA,NA,NA
"962471","2009-06-05","80",0.35,29.75,7,NA
"962541","2009-06-06","77",1.18,29.85,4.6,NA
"962605","2009-06-07","76",0.41,29.93,4.3,NA
"962649","2009-06-08","77",0.09,29.91,1.8,NA
"962675","2009-06-09","82",NA,29.89,3.8,NA
"962701","2009-06-10","84",0,29.86,2.4,NA
"962727","2009-06-11","84",0.03,29.84,4.2,NA
"962756","2009-06-12","84",NA,29.82,6.3,NA
"962781","2009-06-13","83",0,29.85,6.8,NA
"962810","2009-06-14","83",0.11,29.89,6.4,NA
"962840","2009-06-15","82",0.95,29.91,1.3,NA
"962876","2009-06-16","83",0.16,29.92,4.1,NA
"962911","2009-06-17","80",NA,29.98,4.2,NA
"962953","2009-06-18","82",0.7,29.9,3.8,NA
"962978","2009-06-19","84",NA,29.85,3.9,NA
"963003","2009-06-20","88",0,29.81,6.7,NA
"963037","2009-06-21","86",0.05,29.73,7.4,NA
"963067","2009-06-22","84",0.19,29.68,5.5,NA
"963098","2009-06-23","82",NA,29.68,4.1,NA
"963129","2009-06-24","80",NA,29.79,3.3,NA
"963157","2009-06-25","84",0.02,29.83,4.5,NA
"963187","2009-06-26","",NA,NA,NA,NA
"963214","2009-06-27","88",0,29.77,9.3,NA
"963239","2009-06-28","88",0,29.71,6.6,NA
"963266","2009-06-29","86",NA,29.63,8.7,NA
"963291","2009-06-30","83",0,29.63,NA,NA
"963316","2009-07-01","84",0,29.73,7.6,NA
"963341","2009-07-02","86",0,29.83,7.5,NA
"963366","2009-07-03","84",0.01,29.91,5.5,NA
"963393","2009-07-04","83",0,29.97,5.9,NA
"963420","2009-07-05","88",0,29.89,6.6,NA
"963453","2009-07-06","84",0.1,29.79,7.2,NA
"963492","2009-07-07","80",0.08,29.75,6.1,NA
"963549","2009-07-08","77",1,29.81,3.6,NA
"963575","2009-07-09","76",0.02,29.97,5.5,NA
"963601","2009-07-10","78",0,30.14,7.4,NA
"963626","2009-07-11","78",0,30.18,4.1,NA
"963651","2009-07-12","80",0,30.08,4.5,NA
"963682","2009-07-13","83",0.91,29.92,5.2,NA
"963720","2009-07-14","80",0,NA,5,NA
"963788","2009-07-15","80",0.01,30.09,4.6,NA
"963817","2009-07-16","",0,29.98,3.5,NA
"963844","2009-07-17","",NA,29.87,9.6,NA
"963873","2009-07-18","",0,29.91,7.3,NA
"963901","2009-07-19","",0,30,3.3,NA
"963926","2009-07-20","",0,29.98,2.4,NA
"963960","2009-07-21","",NA,30,4.8,NA
"963987","2009-07-22","",NA,29.99,2.6,NA
"964016","2009-07-23","",0,29.92,4.9,NA
"964043","2009-07-24","",NA,29.91,6.2,NA
"964068","2009-07-25","",0,29.95,6.9,NA
"964093","2009-07-26","",0,29.98,6.5,NA
"964124","2009-07-27","",0.01,29.99,6.9,NA
"964149","2009-07-28","",NA,29.97,6.3,NA
"964184","2009-07-29","",0.01,29.97,7.9,NA
"964221","2009-07-30","",0.12,30.02,6.2,NA
"964259","2009-07-31","",0.28,30.04,NA,NA
"964291","2009-08-01","",NA,30.06,5.2,NA
"964325","2009-08-02","",0.61,30,6.8,NA
"964354","2009-08-03","",NA,29.99,5.8,NA
"964382","2009-08-04","",0,30,3.9,NA
"964412","2009-08-05","",0.07,29.96,3.2,NA
"964441","2009-08-06","",0.06,29.94,5.7,NA
