"","Location","Date","Nesting","FalseCrawls","Total","state"
"1","Topsail Island","10/3/2013",1,0,1,"NC"
"2","Cape Hatteras NS","10/7/2009",1,0,1,"NC"
"3","Emerald Isle","4/27/2011",0,1,1,"NC"
"4","Caswell Beach","4/27/2012",1,0,1,"NC"
"5","Ocean Isle","4/27/2012",0,1,1,"NC"
"7","Bald Head Island","5/10/2011",1,0,1,"NC"
"8","Hammocks Beach SP","5/10/2012",1,0,1,"NC"
"9","Onslow Beach","5/10/2016",0,1,1,"NC"
"10","Cape Hatteras NS","5/11/2012",1,0,1,"NC"
"11","Bald Head Island","5/11/2016",1,0,1,"NC"
"12","Fort Fisher SRA","5/11/2016",1,0,1,"NC"
"13","Onslow Beach","5/11/2016",0,2,2,"NC"
"14","Cape Hatteras NS","5/12/2012",1,0,1,"NC"
"15","Caswell Beach","5/12/2012",1,0,1,"NC"
"16","Figure 8 Island","5/12/2012",1,1,2,"NC"
"17","Hammocks Beach SP","5/12/2012",1,0,1,"NC"
"18","Holden Beach","5/12/2012",1,0,1,"NC"
"19","Ocean Isle","5/12/2012",0,1,1,"NC"
"20","Oak Island","5/12/2013",1,0,1,"NC"
"21","Figure 8 Island","5/12/2015",0,0,0,"NC"
"23","Holden Beach","5/13/2009",0,1,1,"NC"
"24","Cape Hatteras NS","5/13/2012",1,1,2,"NC"
"25","Cape Lookout NS","5/13/2012",1,1,2,"NC"
"26","Holden Beach","5/13/2012",0,2,2,"NC"
"27","Ocean Isle","5/13/2012",1,0,1,"NC"
"28","Topsail Island","5/13/2012",1,0,1,"NC"
"29","Oak Island","5/13/2013",0,1,1,"NC"
"30","Cape Hatteras NS","5/13/2015",2,1,3,"NC"
"31","Oak Island","5/13/2015",1,0,1,"NC"
"32","Caswell Beach","5/13/2016",1,0,1,"NC"
"33","Oak Island","5/13/2016",1,0,1,"NC"
"34","Atlantic Beach","5/14/2009",1,0,1,"NC"
"35","Cape Hatteras NS","5/14/2012",2,0,2,"NC"
"36","Fort Fisher SRA","5/14/2012",0,1,1,"NC"
"37","Holden Beach","5/14/2012",1,0,1,"NC"
"38","Oak Island","5/14/2012",1,0,1,"NC"
"39","Cape Hatteras NS","5/14/2016",0,1,1,"NC"
"40","Oak Island","5/14/2016",0,1,1,"NC"
"41","Bald Head Island","5/15/2009",0,1,1,"NC"
"42","Sunset Beach plus Bird Island","5/15/2009",0,1,1,"NC"
"43","Cape Hatteras NS","5/15/2011",1,1,2,"NC"
"44","Cape Lookout NS","5/15/2011",0,1,1,"NC"
"45","Fort Fisher SRA","5/15/2011",1,1,2,"NC"
"46","Oak Island","5/15/2013",0,2,2,"NC"
"47","Bald Head Island","5/15/2016",1,0,1,"NC"
"48","Cape Hatteras NS","5/15/2016",0,1,1,"NC"
"49","Fort Fisher SRA","5/15/2016",1,0,1,"NC"
"50","Kure Beach","5/15/2016",1,0,1,"NC"
"51","Oak Island","5/15/2016",1,0,1,"NC"
"52","Onslow Beach","5/15/2016",0,1,1,"NC"
"53","Topsail Island","5/15/2016",0,1,1,"NC"
"55","Bald Head Island","5/16/2009",0,1,1,"NC"
"56","Holden Beach","5/16/2009",0,1,1,"NC"
"57","Ocean Isle","5/16/2009",1,0,1,"NC"
"58","Cape Hatteras NS","5/16/2011",1,0,1,"NC"
"59","Cape Lookout NS","5/16/2011",0,1,1,"NC"
"60","Onslow Beach","5/16/2011",0,1,1,"NC"
"61","Cape Hatteras NS","5/16/2012",0,1,1,"NC"
"62","Caswell Beach","5/16/2012",1,0,1,"NC"
"63","Masonboro Island","5/16/2012",0,1,1,"NC"
"64","Ocean Isle","5/16/2012",1,0,1,"NC"
"65","Topsail Island","5/16/2012",1,2,3,"NC"
"66","Cape Lookout NS","5/16/2015",0,1,1,"NC"
"67","Oak Island","5/16/2015",1,0,1,"NC"
"68","Topsail Island","5/16/2015",0,1,1,"NC"
"69","Caswell Beach","5/16/2016",1,2,3,"NC"
"70","Bald Head Island","5/17/2009",0,1,1,"NC"
"71","Holden Beach","5/17/2009",1,0,1,"NC"
"72","Cape Lookout NS","5/17/2011",1,0,1,"NC"
"73","Onslow Beach","5/17/2011",0,1,1,"NC"
"74","Cape Hatteras NS","5/17/2012",1,0,1,"NC"
"75","Cape Lookout NS","5/17/2012",1,0,1,"NC"
"76","Caswell Beach","5/17/2012",1,1,2,"NC"
"77","Holden Beach","5/17/2012",0,2,2,"NC"
"78","Oak Island","5/17/2012",1,0,1,"NC"
"79","Ocean Isle","5/17/2012",0,1,1,"NC"
"80","Topsail Island","5/17/2012",1,0,1,"NC"
"81","Cape Lookout NS","5/17/2015",1,0,1,"NC"
"82","Topsail Island","5/17/2015",1,0,1,"NC"
