,DATE,DAILYAverageDryBulbTemp,DAILYPrecip,DAILYAverageStationPressure,DAILYAverageWindSpeed,DAILYAverageDewPointTemp
244106,1-Jan-09,30,0,30.29,6.8,18
244134,2-Jan-09,42,T,30.06,8.4,39
244159,3-Jan-09,47,0,30.09,5.3,41
244190,4-Jan-09,50,0.03,30.13,2.7,48
244248,5-Jan-09,56,T,30.03,6.6,54
244293,6-Jan-09,56,0.13,29.88,8.4,57
244323,7-Jan-09,60,0.07,29.53,22.9,54
244348,8-Jan-09,49,T,29.73,14.3,33
244373,9-Jan-09,37,0,30.17,6.8,22
244398,10-Jan-09,46,0,30.2,11.4,41
244435,11-Jan-09,55,0.07,29.92,12.4,51
244468,12-Jan-09,42,0,30.2,9.2,32
244517,13-Jan-09,50,0.58,29.91,8.6,NA
244542,14-Jan-09,40,0,30.12,7.2,NA
244567,15-Jan-09,40,0,30.22,10.6,30
244592,16-Jan-09,28,0,30.54,8.3,10
244617,17-Jan-09,28,0,30.48,6.3,16
244649,18-Jan-09,42,T,29.96,5.9,37
244675,19-Jan-09,45,T,29.69,5,39
244744,20-Jan-09,40,0.28,29.65,12,NA
244769,21-Jan-09,36,0,30.03,8.1,NA
244794,22-Jan-09,42,0,30.17,8.9,NA
244819,23-Jan-09,49,0,30.1,12.5,39
244844,24-Jan-09,48,T,30.03,11.3,42
244879,25-Jan-09,41,0.05,30.23,10.9,32
244925,26-Jan-09,42,T,30.31,7.4,39
244971,27-Jan-09,44,0.03,30.33,5.1,41
245038,28-Jan-09,51,0.07,30.02,10,52
245082,29-Jan-09,46,0.33,29.94,5.9,42
245107,30-Jan-09,42,0,29.94,5.4,35
245132,31-Jan-09,36,0,30.1,8.6,19
245157,1-Feb-09,46,0,30.21,13,36
245182,2-Feb-09,52,0.4,30.03,6,44
245219,3-Feb-09,42,0.16,29.78,8.8,34
245251,4-Feb-09,36,T,29.97,8.5,24
245276,5-Feb-09,30,0,30.37,9.5,11
245301,6-Feb-09,34,0,30.49,6.9,17
245326,7-Feb-09,44,0,30.41,7.9,41
245351,8-Feb-09,55,0,30.21,11.5,43
245376,9-Feb-09,50,0,30.34,7.3,41
245401,10-Feb-09,57,0,30.31,7.6,53
245426,11-Feb-09,60,0,30.11,11.8,56
245453,12-Feb-09,59,0,29.84,14.8,46
245478,13-Feb-09,54,0,30,9,36
245503,14-Feb-09,52,0,29.95,6.4,43
245539,15-Feb-09,44,0,30.02,10.5,33
245566,16-Feb-09,41,0,30.1,10.5,27
245595,17-Feb-09,35,0,30.26,5.8,24
245633,18-Feb-09,44,0.62,30.01,11.1,42
245696,19-Feb-09,52,0.72,29.59,11.1,45
245721,20-Feb-09,37,0,30,10.4,15
245746,21-Feb-09,43,0,30.3,5.9,22
245771,22-Feb-09,47,0.13,30.06,12,40
245796,23-Feb-09,36,0,30.29,10.6,17
245821,24-Feb-09,32,0,30.38,5.2,19
245846,25-Feb-09,36,0,30.45,4.4,25
245871,26-Feb-09,52,0,30.36,4.6,42
245896,27-Feb-09,54,0.07,30.2,5.7,51
245981,28-Feb-09,53,,30.01,6.2,51
